cell,kind,axis,max_new_tokens,k,n,correct,terminated_wrong,repetition_loop,truncated_no_answer,rep_loop_rate,headline_acc,lenient_acc,upper_bound_acc,n_chains,chain_rep_loop_rate
plan1.it_cot_n100,completion,it_cot,512,1,100,31,55,14,0,0.140000,0.310000,0.360465,0.310000,,
plan1.base_cot_n100,completion,base_cot,512,1,100,22,75,3,0,0.030000,0.220000,0.226804,0.220000,,
plan2.A1_len128,completion,A,128,1,500,149,299,51,1,0.102000,0.298000,0.331849,0.306000,,
plan2.A2_len256,completion,A,256,1,500,150,296,52,2,0.104000,0.300000,0.334821,0.304000,,
plan2.A3_len512,completion,A,512,1,500,150,297,51,2,0.102000,0.300000,0.334076,0.300000,,
plan2.A4_len1024,completion,A,1024,1,500,150,297,51,2,0.102000,0.300000,0.334076,0.300000,,
plan2.B1_k1,voted,B,512,1,500,154,299,46,1,0.092000,0.308000,0.339207,0.310000,500,0.092000
plan2.B2_k3,voted,B,512,3,500,159,304,37,0,0.074000,0.318000,0.343413,0.320000,1500,0.096667
plan2.B3_k5,voted,B,512,5,500,148,320,31,1,0.062000,0.296000,0.315565,0.302000,2500,0.088000
plan2.B4_k10,voted,B,512,10,500,161,316,23,0,0.046000,0.322000,0.337526,0.324000,5000,0.095000
